name,category,priceInr,previousPriceInr,rating,ratingCount,shortRecommendation,description,image,brand,specs
boAt Rockerz 255 Pro+,audio,1499,2999,4.2,15000,"Bass-heavy earbuds with 40h battery","Long battery life, bass-heavy sound, IPX5 water resistance, USB-C charging","https://m.media-amazon.com/images/I/71example.jpg","boAt","Driver: 10mm; Battery: 40h; Charging: USB-C; Water: IPX5; Bluetooth: 5.2"
Noise Buds N1,audio,999,1999,4.1,8500,"Ultra-low latency gaming earbuds","40ms low latency gaming mode, 40h total playtime, Instacharge 10min=120min","https://m.media-amazon.com/images/I/71example2.jpg","Noise","Driver: 10mm; Battery: 40h; Charging: USB-C; Latency: 40ms; Water: IPX4"
OnePlus Nord Buds 3,audio,2799,3599,4.3,21000,"Best budget ANC earbuds","Active noise cancellation up to 32dB, 43h battery, 10min=11h charge","https://m.media-amazon.com/images/I/71example3.jpg","OnePlus","Driver: 12.4mm; Battery: 43h; ANC: 32dB; Charging: USB-C; Water: IP55"
HP Victus 15 Gaming Laptop,laptops,94990,101199,4.0,55,"144Hz gaming laptop for students","Intel i5-14450HX, RTX 3050 6GB, 24GB RAM, 512GB SSD, 144Hz FHD display","https://m.media-amazon.com/images/I/71example4.jpg","HP","Display: 15.6\" FHD 144Hz; Processor: i5-14450HX; Graphics: RTX 3050 6GB; RAM: 24GB DDR5; Storage: 512GB SSD; Weight: 2.3kg"
Lenovo IdeaPad Slim 3,laptops,72290,92990,4.3,1872,"Slim 15.3\" laptop for projects","13th Gen i5, 16GB RAM, 512GB SSD, WUXGA display, 1.6kg","https://m.media-amazon.com/images/I/71example5.jpg","Lenovo","Display: 15.3\" WUXGA; Processor: i5-13420H; RAM: 16GB; Storage: 512GB SSD; Weight: 1.6kg"
Xiaomi Power Bank 5i 20000mAh,power-charging,3499,5999,4.4,52000,"67W turbo charging with built-in cable","20000mAh, 67W turbo, PD 3.0, built-in cable, digital display","https://m.media-amazon.com/images/I/71example6.jpg","Xiaomi","Capacity: 20000mAh; Charging: 67W turbo; Ports: Triple output; Display: Digital; Cable: Built-in"
Ambrane 65W GaN Charger,power-charging,2399,3999,4.3,9870,"One charger for laptop, phone, earbuds","65W GaN, 2x USB-C + 1x USB-A, PD technology, foldable pins","https://m.media-amazon.com/images/I/71example7.jpg","Ambrane","Power: 65W GaN; Ports: 2x USB-C + 1x USB-A; Output: PD 3.0; Size: Compact; Protection: 12-layer"
Skybags Brat Pro Max 35L,backpacks,999,2100,4.2,41000,"Most popular college backpack","35L capacity, padded laptop sleeve, 3 compartments, rain cover, 1yr warranty","https://m.media-amazon.com/images/I/71example8.jpg","Skybags","Capacity: 35L; Laptop: 15.6\"; Compartments: 3; Rain cover: Yes; Warranty: 1yr; Weight: 800g"
American Tourister 28L,backpacks,1599,4200,4.5,18000,"Premium backpack for 4 years","4 compartments, dedicated laptop sleeve, rain cover, durable build","https://m.media-amazon.com/images/I/71example9.jpg","American Tourister","Capacity: 28L; Laptop: 15.6\"; Compartments: 4; Rain cover: Yes; Style: Black unisex"
Wipro Garnet LED Desk Lamp,study-setup,1349,1500,4.4,15000,"Eye-comfort lamp for late-night study","Flicker-free LED, adjustable brightness, flexible neck, 3-4 modes","https://m.media-amazon.com/images/I/71example10.jpg","Wipro","Type: Flicker-free LED; Brightness: Adjustable 3-4 modes; Colour temp: Warm to cool; Power: Mains; Stand: Flexible neck"
Logitech MK235 Wireless Combo,study-setup,1845,2095,4.4,22000,"Quiet keyboard-mouse for dorm desks","36-month keyboard battery, 12-month mouse battery, 2.4GHz USB receiver","https://m.media-amazon.com/images/I/71example11.jpg","Logitech","Includes: Keyboard + mouse; Connection: 2.4GHz USB; Keyboard battery: 36 months; Mouse battery: 12 months; Layout: Compact US"
LG 24\" FHD IPS Monitor,monitors,7499,17000,4.4,8760,"Best cheap external display","24\" IPS, 120Hz, 1ms, sRGB 99%, HDMI + VGA, eye care modes","https://m.media-amazon.com/images/I/71example12.jpg","LG","Size: 24\"; Resolution: 1920x1080; Refresh: 120Hz; Colour: sRGB 99%; Ports: HDMI + VGA; Eye care: Yes"
Redmi Pad 2 11\",tablets,18999,27999,4.3,21000,"Sharp 2.5K tablet for notes & media","11\" 2.5K 90Hz, Helio G100, 4GB/128GB, 9340mAh, Dolby Atmos","https://m.media-amazon.com/images/I/71example13.jpg","Redmi","Display: 11\" 2.5K 90Hz; Processor: Helio G100; RAM: 4GB; Storage: 128GB; Battery: 9340mAh; OS: HyperOS 2"
Prestige Electric Kettle 1.5L,hostel-essentials,665,1445,4.3,36000,"Instant chai & maggi for hostel","1350W fast boil, auto cut-off, cool-touch handle, 1.5L stainless steel","https://m.media-amazon.com/images/I/71example14.jpg","Prestige","Capacity: 1.5L; Material: Stainless steel; Power: 1350W; Safety: Auto cut-off; Weight: 0.72kg"
Havells 4+1 Extension Board,hostel-essentials,545,715,4.5,27000,"Surge-protected power strip for top bunk","4+1 universal sockets, 4m copper cord, overload protection, ISI certified","https://m.media-amazon.com/images/I/71example15.jpg","Havells","Sockets: 4+1 universal; Protection: Overload/over-voltage; Cord: 4m copper; Indicator: LED; Certification: ISI"
Classmate Notebook 12-Pack,stationery,576,720,4.6,48000,"Best-value notebook pack for semester","12 notebooks x 140 pages, single line, perfect bound, gel/ballpoint friendly","https://m.media-amazon.com/images/I/71example16.jpg","Classmate","Pack: 12; Pages: 140 each; Size: A4; Type: Single line; Binding: Perfect bound"
Pilot V5 Pens Pack 10,stationery,629,700,4.7,13000,"Smooth pens students keep rebuying","0.5mm extra-fine rollerball, liquid ink, refillable grip, blue ink","https://m.media-amazon.com/images/I/71example17.jpg","Pilot","Pack: 10; Tip: 0.5mm extra-fine; Ink: Liquid blue; Type: Hi-Tecpoint V5; Refillable: Yes"
boAt Airdopes 141,audio,999,4490,4.1,85000,"Cheap daily earbuds with signature bass","42h battery, IPX4, low-latency gaming mode, touch controls","https://m.media-amazon.com/images/I/71example18.jpg","boAt","Driver: 8mm; Battery: 42h; Charging: USB-C; Water: IPX4; Latency: Low; Controls: Touch"
Realme Buds Air 8 Pro,audio,6999,8999,4.4,9100,"Mid-range ANC with dual drivers","11mm+6mm dual DAC, 55dB ANC, 6-mic VPU, 50h battery, IP55","https://m.media-amazon.com/images/I/71example19.jpg","realme","Driver: 11mm+6mm dual DAC; ANC: 55dB; Mics: 6-mic VPU; Battery: 50h; Water: IP55"
